Votes, Title, Cover_Image
28359,Antiracist Baby by Ibram X. Kendi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575323604l/52535437._SX318_SY475_.jpg
24858,Just Like Me by Vanessa Brantley-Newton,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563397090l/43659628._SX318_.jpg
17011,The Cool Bean by Jory John,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563758989l/45730161._SX318_.jpg
13717,This Book Is Gray by Lindsay Ward,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571242142l/43706730._SX318_.jpg
10933,Sweet Child o' Mine by Guns N' Roses,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592244362l/50438921._SX318_.jpg
10650,I Am Every Good Thing by Derrick Barnes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580381889l/49024173.jpg
8164,The Oldest Student by Rita Lorraine Hubbard,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561613346l/50215810._SX318_SY475_.jpg
8038,Bird Hugs by Ged Adamson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571242144l/51038307._SX318_SY475_.jpg
3582,Julián at the Wedding by Jessica     Love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586221654l/51472378._SX318_.jpg
3334,Coronavirus by Elizabeth Jenner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598304138l/55106555._SX318_.jpg
3063,Grandma's Gardens by Hillary Rodham Clinton,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568304403l/52027711._SX318_SY475_.jpg
2600,The World Needs More Purple People by Kristen  Bell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580795116l/53105938._SX318_SY475_.jpg
2113,We Are Water Protectors by Carole Lindstrom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562025181l/44581496._SX318_.jpg
1322,Dewdrop by Katie O'Neill,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563722568l/49699400._SX318_SY475_.jpg
975,We Will Rock Our Classmates by Ryan T.  Higgins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578187475l/48932414._SX318_.jpg
