title, author, publisher, date_published, ratings, pages, isbn, language, genres
ONCE GONE: A Riley Paige Mystery (Book 1),Blake Pierce,Blake Pierce,Dec 11| 2015,4.5,250,9.78163E+12,English,Fiction / Mystery & Detective / General
Digital Photography Complete Course: Learn Everything You Need to Know in 20 Weeks,DK,Dorling Kindersley Ltd,Sep 1| 2015,4.2,360,9.78024E+12,English,Computers / Digital Media / Photography
The Time Machine,H.G. Wells,Simon and Schuster,May 31| 2011,3.7,176,9.78145E+12,English,Fiction / Classics
Ants: Jolly Phonics Orange Readers,Louise Van-Pottelsberghe,Jolly Learning Ltd,Jun 30| 2019,4.5,12,9.78184E+12,English,Education / Early Childhood (incl. Preschool & Kindergarten)
Ghost Mansion,Drac Von Stoller,Drac Von Stoller,Feb 11| 2014,4,4,9.78131E+12,English,Fiction / Fantasy / Paranormal
The War of the Worlds,H.G. Wells,Simon and Schuster,Jun 12| 2012,3.7,224,9.78145E+12,English,Fiction / General
Pocket Eyewitness Science,DK,Dorling Kindersley Ltd,Jun 3| 2013,4,160,9.78141E+12,English,Juvenile Nonfiction / Reference / General
Boost Your Brain: Switch on your Brain with over 300 Puzzles| Tips| and Teasers,Joel Levy,Dorling Kindersley Ltd,Jan 16| 2014,4.3,192,9.78141E+12,English,Games & Activities / Puzzles
Tips: Jolly Phonics Orange Readers,Louise Van-Pottelsberghe,Jolly Learning Ltd,Jun 30| 2019,4.2,12,9.78184E+12,English,Education / Early Childhood (incl. Preschool & Kindergarten)
The A to Z of Karma: The Law ''What you give is what you get!'',AiR,AiR Institute of Realization ,Dec 1| 2018,4.4,164,9.78935E+12,English,Self-Help / Spiritual
Atlas: A Pocket Guide to the World Today,DK,Dorling Kindersley Ltd,Apr 1| 2015,3.6,432,9.78024E+12,English,Reference / Atlases| Gazetteers & Maps
RSPB What's that Bird?: The Simplest ID Guide Ever,DK,Dorling Kindersley Ltd,Jan 19| 2012,4.4,128,9.78141E+12,English,Nature / Animals / Birds
The Invisible Man,H.G. Wells,Simon and Schuster,Nov 18| 2014,4,400,9.78148E+12,English,Fiction / Classics
Red Hen: Jolly Phonics Level 2 Readers,Sara Wernham,Jolly Learning Ltd,Jan 30| 2003,3.6,12,9.78184E+12,English,Education / Early Childhood (incl. Preschool & Kindergarten)
Encyclopedia Of Herbal Medicine: 550 Herbs and Remedies for Common Ailments,Andrew Chevallier,Dorling Kindersley Ltd,Jul 1| 2016,4.1,336,9.78024E+12,English,Gardening / Herbs
Rise of the Dragons (Kings and Sorcerers--Book 1),Morgan Rice,Morgan Rice,Dec 22| 2014,4.3,250,9.78163E+12,English,Fiction / Fantasy / Epic
If She Knew (A Kate Wise Mystery—Book 1),Blake Pierce,Blake Pierce,Nov 25| 2018,4.6,250,9.78164E+12,English,Fiction / Mystery & Detective / General
Mahatma Gandhi and His Myths,Mark Shepard,Simple Productions,Jan 1| 2002,4,44,9.78162E+12,English,Philosophy / Ethics & Moral Philosophy
Cool Cars,Quentin Willson,Dorling Kindersley Ltd,Apr 1| 2014,3.9,480,9.78024E+12,English,Technology & Engineering / Automotive
The Moonlight Masquerade,Rachel Morgan,Rachel Morgan,May 24| 2019,4.2,120,9.78193E+12,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Left To Die (An Adele Sharp Mystery—Book One),Blake Pierce,Blake Pierce,Apr 30| 2020,4.6,250,9.78109E+12,English,Fiction / Mystery & Detective / General
The Raven,Edgar Allan Poe,Simon and Schuster,Aug 26| 2013,3.9,32,9.78148E+12,English,Fiction / Classics
BMA Family Doctor Home Adviser,DK,Dorling Kindersley Ltd,Jun 1| 2012,4.1,296,9.78141E+12,English,Family & Relationships / General
German English Bilingual Visual Dictionary,DK,Dorling Kindersley Ltd,Jun 1| 2015,3.9,360,9.78024E+12,English,Foreign Language Study / German
Improving Your Memory,DK,Dorling Kindersley Ltd,Jan 10| 2008,3.9,72,9.78141E+12,English,Business & Economics / General
